Model_Year,Make,Model,Vehicle_Class,Vehicle_Type,Engine_Size_L,Cylinders,Motor_kW,Transmission,Fuel_Type_Primary,Fuel_Type_Secondary,Fuel_Cons_City_L100km,Fuel_Cons_Hwy_L100km,Fuel_Cons_Comb_L100km,Fuel_Cons_Comb_mpg,Elec_Cons_City_kWh100km,Elec_Cons_Hwy_kWh100km,Elec_Cons_Comb_kWh100km,Elec_Range_km,Total_Range_km,Recharge_Time_h,CO2_Emissions_g_km,CO2_Rating,Smog_Rating
,ACURA,ILX,Compact,Conventional/Hybrid,2.0,4.0,,AS5,Z,,9.9,6.7,8.5,33.0,,,,,,,196,,
,ACURA,ILX,Compact,Conventional/Hybrid,2.4,4.0,,M6,Z,,11.2,7.7,9.6,29.0,,,,,,,221,,
,ACURA,ILX HYBRID,Compact,Conventional/Hybrid,1.5,4.0,,AV7,Z,,6.0,5.8,5.9,48.0,,,,,,,136,,
,ACURA,MDX 4WD,Suv - Small,Conventional/Hybrid,3.5,6.0,,AS6,Z,,12.7,9.1,11.1,25.0,,,,,,,255,,
,ACURA,RDX AWD,Suv - Small,Conventional/Hybrid,3.5,6.0,,AS6,Z,,12.1,8.7,10.6,27.0,,,,,,,244,,
,ACURA,RLX,Mid-Size,Conventional/Hybrid,3.5,6.0,,AS6,Z,,11.9,7.7,10.0,28.0,,,,,,,230,,
,ACURA,TL,Mid-Size,Conventional/Hybrid,3.5,6.0,,AS6,Z,,11.8,8.1,10.1,28.0,,,,,,,232,,
,ACURA,TL AWD,Mid-Size,Conventional/Hybrid,3.7,6.0,,AS6,Z,,12.8,9.0,11.1,25.0,,,,,,,255,,
,ACURA,TL AWD,Mid-Size,Conventional/Hybrid,3.7,6.0,,M6,Z,,13.4,9.5,11.6,24.0,,,,,,,267,,
,ACURA,TSX,Compact,Conventional/Hybrid,2.4,4.0,,AS5,Z,,10.6,7.5,9.2,31.0,,,,,,,212,,
,ACURA,TSX,Compact,Conventional/Hybrid,2.4,4.0,,M6,Z,,11.2,8.1,9.8,29.0,,,,,,,225,,
,ACURA,TSX,Compact,Conventional/Hybrid,3.5,6.0,,AS5,Z,,12.1,8.3,10.4,27.0,,,,,,,239,,
,ALFA ROMEO,4C,Two-Seater,Conventional/Hybrid,1.8,4.0,,AM6,Z,,9.7,6.9,8.4,34.0,,,,,,,193,,
,ASTON MARTIN,DB9,Minicompact,Conventional/Hybrid,5.9,12.0,,A6,Z,,18.0,12.6,15.6,18.0,,,,,,,359,,
,ASTON MARTIN,RAPIDE,Subcompact,Conventional/Hybrid,5.9,12.0,,A6,Z,,18.0,12.6,15.6,18.0,,,,,,,359,,
,ASTON MARTIN,V8 VANTAGE,Two-Seater,Conventional/Hybrid,4.7,8.0,,AM7,Z,,17.4,11.3,14.7,19.0,,,,,,,338,,
,ASTON MARTIN,V8 VANTAGE,Two-Seater,Conventional/Hybrid,4.7,8.0,,M6,Z,,18.1,12.2,15.4,18.0,,,,,,,354,,
,ASTON MARTIN,V8 VANTAGE S,Two-Seater,Conventional/Hybrid,4.7,8.0,,AM7,Z,,17.4,11.3,14.7,19.0,,,,,,,338,,
,ASTON MARTIN,V8 VANTAGE S,Two-Seater,Conventional/Hybrid,4.7,8.0,,M6,Z,,18.1,12.2,15.4,18.0,,,,,,,354,,
,ASTON MARTIN,VANQUISH,Minicompact,Conventional/Hybrid,5.9,12.0,,A6,Z,,18.0,12.6,15.6,18.0,,,,,,,359,,
,AUDI,A4,Compact,Conventional/Hybrid,2.0,4.0,,AV8,Z,,9.9,7.4,8.8,32.0,,,,,,,202,,
,AUDI,A4 QUATTRO,Compact,Conventional/Hybrid,2.0,4.0,,AS8,Z,,11.5,8.1,10.0,28.0,,,,,,,230,,
,AUDI,A4 QUATTRO,Compact,Conventional/Hybrid,2.0,4.0,,M6,Z,,10.8,7.5,9.3,30.0,,,,,,,214,,
,AUDI,A5 CABRIOLET QUATTRO,Subcompact,Conventional/Hybrid,2.0,4.0,,AS8,Z,,11.5,8.1,10.0,28.0,,,,,,,230,,
,AUDI,A5 QUATTRO,Subcompact,Conventional/Hybrid,2.0,4.0,,AS8,Z,,11.5,8.1,10.0,28.0,,,,,,,230,,
,AUDI,A5 QUATTRO,Subcompact,Conventional/Hybrid,2.0,4.0,,M6,Z,,10.8,7.5,9.3,30.0,,,,,,,214,,
,AUDI,A6 QUATTRO,Mid-Size,Conventional/Hybrid,2.0,4.0,,AS8,Z,,12.0,8.1,10.2,28.0,,,,,,,235,,
,AUDI,A6 QUATTRO,Mid-Size,Conventional/Hybrid,3.0,6.0,,AS8,Z,,12.8,8.6,10.9,26.0,,,,,,,251,,
,AUDI,A6 QUATTRO TDI (modified),Mid-Size,Conventional/Hybrid,3.0,6.0,,AS8,D,,9.8,6.2,8.1,35.0,,,,,,,217,,
,AUDI,A7 QUATTRO,Mid-Size,Conventional/Hybrid,3.0,6.0,,AS8,Z,,13.3,8.5,11.2,25.0,,,,,,,262,,
,AUDI,A7 QUATTRO TDI (modified),Mid-Size,Conventional/Hybrid,3.0,6.0,,AS8,D,,9.8,6.2,8.1,35.0,,,,,,,217,,
,AUDI,A8,Mid-Size,Conventional/Hybrid,3.0,6.0,,AS8,Z,,13.1,8.8,11.2,25.0,,,,,,,258,,
,AUDI,A8,Mid-Size,Conventional/Hybrid,4.0,8.0,,AS8,Z,,13.7,8.3,11.3,25.0,,,,,,,265,,
,AUDI,A8 TDI (modified),Mid-Size,Conventional/Hybrid,3.0,6.0,,AS8,D,,9.8,6.5,8.4,34.0,,,,,,,224,,
,AUDI,A8L,Full-Size,Conventional/Hybrid,3.0,6.0,,AS8,Z,,13.1,8.8,11.2,25.0,,,,,,,258,,
,AUDI,A8L,Full-Size,Conventional/Hybrid,4.0,8.0,,AS8,Z,,14.7,9.7,12.5,23.0,,,,,,,288,,
,AUDI,A8L,Full-Size,Conventional/Hybrid,6.3,12.0,,AS8,Z,,18.7,11.5,15.5,18.0,,,,,,,363,,
,AUDI,A8L TDI (modified),Full-Size,Conventional/Hybrid,3.0,6.0,,AS8,D,,9.8,6.5,8.4,34.0,,,,,,,224,,
,AUDI,ALLROAD QUATTRO,Station Wagon - Small,Conventional/Hybrid,2.0,4.0,,AS8,Z,,11.8,8.8,10.5,27.0,,,,,,,242,,
,AUDI,Q5,Suv - Small,Conventional/Hybrid,2.0,4.0,,AS8,Z,,12.0,8.5,10.4,27.0,,,,,,,239,,
,AUDI,Q5,Suv - Small,Conventional/Hybrid,3.0,6.0,,AS8,Z,,12.9,9.2,11.2,25.0,,,,,,,258,,
