Model_Year,Make,Model,Vehicle_Class,Vehicle_Type,Engine_Size_L,Cylinders,Motor_kW,Transmission,Fuel_Type_Primary,Fuel_Type_Secondary,Fuel_Cons_City_L100km,Fuel_Cons_Hwy_L100km,Fuel_Cons_Comb_L100km,Fuel_Cons_Comb_mpg,Elec_Cons_City_kWh100km,Elec_Cons_Hwy_kWh100km,Elec_Cons_Comb_kWh100km,Elec_Range_km,Total_Range_km,Recharge_Time_h,CO2_Emissions_g_km,CO2_Rating,Smog_Rating,vehicle_id
,ACURA,ILX,Compact,Conventional/Hybrid,2.0,4,,AS5,Z,,9.9,6.7,8.5,33,,,,,,,196,,,ACURA_ILX_Compact_Conventional/Hybrid_AS5
,ACURA,ILX,Compact,Conventional/Hybrid,2.4,4,,M6,Z,,11.2,7.7,9.6,29,,,,,,,221,,,ACURA_ILX_Compact_Conventional/Hybrid_M6
,ACURA,ILX HYBRID,Compact,Conventional/Hybrid,1.5,4,,AV7,Z,,6.0,5.8,5.9,48,,,,,,,136,,,ACURA_ILX HYBRID_Compact_Conventional/Hybrid_AV7
,ACURA,MDX 4WD,Suv - Small,Conventional/Hybrid,3.5,6,,AS6,Z,,12.7,9.1,11.1,25,,,,,,,255,,,ACURA_MDX 4WD_Suv - Small_Conventional/Hybrid_AS6
,ACURA,RDX AWD,Suv - Small,Conventional/Hybrid,3.5,6,,AS6,Z,,12.1,8.7,10.6,27,,,,,,,244,,,ACURA_RDX AWD_Suv - Small_Conventional/Hybrid_AS6
,ACURA,RLX,Mid-Size,Conventional/Hybrid,3.5,6,,AS6,Z,,11.9,7.7,10.0,28,,,,,,,230,,,ACURA_RLX_Mid-Size_Conventional/Hybrid_AS6
,ACURA,TL,Mid-Size,Conventional/Hybrid,3.5,6,,AS6,Z,,11.8,8.1,10.1,28,,,,,,,232,,,ACURA_TL_Mid-Size_Conventional/Hybrid_AS6
,ACURA,TL AWD,Mid-Size,Conventional/Hybrid,3.7,6,,AS6,Z,,12.8,9.0,11.1,25,,,,,,,255,,,ACURA_TL AWD_Mid-Size_Conventional/Hybrid_AS6
,ACURA,TL AWD,Mid-Size,Conventional/Hybrid,3.7,6,,M6,Z,,13.4,9.5,11.6,24,,,,,,,267,,,ACURA_TL AWD_Mid-Size_Conventional/Hybrid_M6
,ACURA,TSX,Compact,Conventional/Hybrid,2.4,4,,AS5,Z,,10.6,7.5,9.2,31,,,,,,,212,,,ACURA_TSX_Compact_Conventional/Hybrid_AS5
,ACURA,TSX,Compact,Conventional/Hybrid,2.4,4,,M6,Z,,11.2,8.1,9.8,29,,,,,,,225,,,ACURA_TSX_Compact_Conventional/Hybrid_M6
,ACURA,TSX,Compact,Conventional/Hybrid,3.5,6,,AS5,Z,,12.1,8.3,10.4,27,,,,,,,239,,,ACURA_TSX_Compact_Conventional/Hybrid_AS5
,ALFA ROMEO,4C,Two-Seater,Conventional/Hybrid,1.8,4,,AM6,Z,,9.7,6.9,8.4,34,,,,,,,193,,,ALFA ROMEO_4C_Two-Seater_Conventional/Hybrid_AM6
,ASTON MARTIN,DB9,Minicompact,Conventional/Hybrid,5.9,12,,A6,Z,,18.0,12.6,15.6,18,,,,,,,359,,,ASTON MARTIN_DB9_Minicompact_Conventional/Hybrid_A6
,ASTON MARTIN,RAPIDE,Subcompact,Conventional/Hybrid,5.9,12,,A6,Z,,18.0,12.6,15.6,18,,,,,,,359,,,ASTON MARTIN_RAPIDE_Subcompact_Conventional/Hybrid_A6
,ASTON MARTIN,V8 VANTAGE,Two-Seater,Conventional/Hybrid,4.7,8,,AM7,Z,,17.4,11.3,14.7,19,,,,,,,338,,,ASTON MARTIN_V8 VANTAGE_Two-Seater_Conventional/Hybrid_AM7
,ASTON MARTIN,V8 VANTAGE,Two-Seater,Conventional/Hybrid,4.7,8,,M6,Z,,18.1,12.2,15.4,18,,,,,,,354,,,ASTON MARTIN_V8 VANTAGE_Two-Seater_Conventional/Hybrid_M6
,ASTON MARTIN,V8 VANTAGE S,Two-Seater,Conventional/Hybrid,4.7,8,,AM7,Z,,17.4,11.3,14.7,19,,,,,,,338,,,ASTON MARTIN_V8 VANTAGE S_Two-Seater_Conventional/Hybrid_AM7
,ASTON MARTIN,V8 VANTAGE S,Two-Seater,Conventional/Hybrid,4.7,8,,M6,Z,,18.1,12.2,15.4,18,,,,,,,354,,,ASTON MARTIN_V8 VANTAGE S_Two-Seater_Conventional/Hybrid_M6
