Model_Year,Make,Model,Vehicle_Class,Vehicle_Type,Engine_Size_L,Cylinders,Motor_kW,Transmission,Fuel_Type_Primary,Fuel_Type_Secondary,Fuel_Cons_City_L100km,Fuel_Cons_Hwy_L100km,Fuel_Cons_Comb_L100km,Fuel_Cons_Comb_mpg,Elec_Cons_City_kWh100km,Elec_Cons_Hwy_kWh100km,Elec_Cons_Comb_kWh100km,Elec_Range_km,Total_Range_km,Recharge_Time_h,CO2_Emissions_g_km,CO2_Rating,Smog_Rating,vehicle_id
,ACURA,RDX AWD,Suv - Small,Conventional/Hybrid,3.5,6,,AS6,Z,,12.1,8.7,10.6,27,,,,,,,244,,,ACURA_RDX AWD_Suv - Small_Conventional/Hybrid_AS6
,ACURA,RLX,Mid-Size,Conventional/Hybrid,3.5,6,,AS6,Z,,11.9,7.7,10.0,28,,,,,,,230,,,ACURA_RLX_Mid-Size_Conventional/Hybrid_AS6
,ALFA ROMEO,4C,Two-Seater,Conventional/Hybrid,1.8,4,,AM6,Z,,9.7,6.9,8.4,34,,,,,,,193,,,ALFA ROMEO_4C_Two-Seater_Conventional/Hybrid_AM6
,ASTON MARTIN,DB9,Minicompact,Conventional/Hybrid,5.9,12,,A6,Z,,18.0,12.6,15.6,18,,,,,,,359,,,ASTON MARTIN_DB9_Minicompact_Conventional/Hybrid_A6
,ASTON MARTIN,V8 VANTAGE,Two-Seater,Conventional/Hybrid,4.7,8,,AM7,Z,,17.4,11.3,14.7,19,,,,,,,338,,,ASTON MARTIN_V8 VANTAGE_Two-Seater_Conventional/Hybrid_AM7
,ASTON MARTIN,V8 VANTAGE S,Two-Seater,Conventional/Hybrid,4.7,8,,AM7,Z,,17.4,11.3,14.7,19,,,,,,,338,,,ASTON MARTIN_V8 VANTAGE S_Two-Seater_Conventional/Hybrid_AM7
,AUDI,A6 QUATTRO,Mid-Size,Conventional/Hybrid,3.0,6,,AS8,Z,,12.8,8.6,10.9,26,,,,,,,251,,,AUDI_A6 QUATTRO_Mid-Size_Conventional/Hybrid_AS8
,AUDI,A6 QUATTRO TDI (modified),Mid-Size,Conventional/Hybrid,3.0,6,,AS8,D,,9.8,6.2,8.1,35,,,,,,,217,,,AUDI_A6 QUATTRO TDI (modified)_Mid-Size_Conventional/Hybrid_AS8
,AUDI,A7 QUATTRO TDI (modified),Mid-Size,Conventional/Hybrid,3.0,6,,AS8,D,,9.8,6.2,8.1,35,,,,,,,217,,,AUDI_A7 QUATTRO TDI (modified)_Mid-Size_Conventional/Hybrid_AS8
,AUDI,A8 TDI (modified),Mid-Size,Conventional/Hybrid,3.0,6,,AS8,D,,9.8,6.5,8.4,34,,,,,,,224,,,AUDI_A8 TDI (modified)_Mid-Size_Conventional/Hybrid_AS8
