column,q1,q3,iqr,lower_bound,upper_bound,outlier_count_iqr
Model_Year,2021.0,2025.0,4.0,2015.0,2031.0,31
Engine_Size_L,2.0,3.7,1.7,-0.55,6.25,124
Cylinders,4.0,6.0,2.0,1.0,9.0,180
Motor_kW,135.0,400.0,265.0,-262.5,797.5,4
Fuel_Cons_City_L100km,9.9,14.5,4.6,3.0,21.4,130
Fuel_Cons_Hwy_L100km,7.4,10.2,2.8,3.2,14.4,171
Fuel_Cons_Comb_L100km,8.8,12.6,3.8,3.1,18.3,136
Fuel_Cons_Comb_mpg,22.0,32.0,10.0,7.0,47.0,95
Elec_Cons_City_kWh100km,18.2,25.4,7.2,7.4,36.2,14
Elec_Cons_Hwy_kWh100km,21.1,27.3,6.2,11.8,36.6,20
Elec_Cons_Comb_kWh100km,14.9,25.0,10.1,-0.25,40.15,15
Elec_Range_km,109.0,491.0,382.0,-464.0,1064.0,0
Total_Range_km,409.0,579.0,170.0,154.0,834.0,144
Recharge_Time_h,5.0,12.0,7.0,-5.5,22.5,0
CO2_Emissions_g_km,175.0,276.0,101.0,23.5,427.5,1252
CO2_Rating,10.0,10.0,0.0,10.0,10.0,213
Smog_Rating,10.0,10.0,0.0,10.0,10.0,358
