vehicle_id,Make,Model,Vehicle_Class,Vehicle_Type,Fuel_Type_Primary,Fuel_Type_Secondary,Transmission,Transmission_Type,Num_Gears,Is_SUV,Is_Truck,Model_Year,Engine_Size_L,Cylinders,Motor_kW,Fuel_Cons_City_L100km,Fuel_Cons_Hwy_L100km,Fuel_Cons_Comb_L100km,Elec_Cons_Comb_kWh100km,Elec_Range_km,Total_Range_km,Recharge_Time_h,CO2_Emissions_g_km,Fuel_Efficiency_Index,CO2_per_L_engine,City_Hwy_Fuel_Ratio,Electric_Efficiency_Index,Range_per_ChargeHour,Elec_Range_Share,cluster,Commercial_Label,Emissions_Risk_Label
ACURA_ILX_Compact_Conventional/Hybrid_AS5,ACURA,ILX,Compact,Conventional/Hybrid,Z,Unknown,AS5,AS,5.0,0,0,0.0,2.0,4.0,0.0,9.9,6.7,8.5,0.0,0.0,0.0,0.0,196,11.764705882352942,98.0,1.4776119402985075,0.0,0.0,0.0,3,Efficient Urban Commuters,Moderate Risk — Short-term Compliant
ACURA_ILX_Compact_Conventional/Hybrid_M6,ACURA,ILX,Compact,Conventional/Hybrid,Z,Unknown,M6,M,6.0,0,0,0.0,2.4,4.0,0.0,11.2,7.7,9.6,0.0,0.0,0.0,0.0,221,10.416666666666668,92.08333333333334,1.4545454545454544,0.0,0.0,0.0,3,Efficient Urban Commuters,Moderate Risk — Short-term Compliant
ACURA_ILX HYBRID_Compact_Conventional/Hybrid_AV7,ACURA,ILX HYBRID,Compact,Conventional/Hybrid,Z,Unknown,AV7,AV,7.0,0,0,0.0,1.5,4.0,0.0,6.0,5.8,5.9,0.0,0.0,0.0,0.0,136,16.94915254237288,90.66666666666669,1.0344827586206895,0.0,0.0,0.0,3,Efficient Urban Commuters,Moderate Risk — Short-term Compliant
ACURA_MDX 4WD_Suv - Small_Conventional/Hybrid_AS6,ACURA,MDX 4WD,Suv - Small,Conventional/Hybrid,Z,Unknown,AS6,AS,6.0,1,0,0.0,3.5,6.0,0.0,12.7,9.1,11.1,0.0,0.0,0.0,0.0,255,9.00900900900901,72.85714285714286,1.3956043956043955,0.0,0.0,0.0,1,Large SUV Emitters,High Risk — Non-compliant Medium-term
ACURA_RDX AWD_Suv - Small_Conventional/Hybrid_AS6,ACURA,RDX AWD,Suv - Small,Conventional/Hybrid,Z,Unknown,AS6,AS,6.0,1,0,0.0,3.5,6.0,0.0,12.1,8.7,10.6,0.0,0.0,0.0,0.0,244,9.433962264150944,69.71428571428571,1.3908045977011494,0.0,0.0,0.0,1,Large SUV Emitters,High Risk — Non-compliant Medium-term
ACURA_RLX_Mid-Size_Conventional/Hybrid_AS6,ACURA,RLX,Mid-Size,Conventional/Hybrid,Z,Unknown,AS6,AS,6.0,0,0,0.0,3.5,6.0,0.0,11.9,7.7,10.0,0.0,0.0,0.0,0.0,230,10.0,65.71428571428571,1.5454545454545454,0.0,0.0,0.0,4,Mass Market Mainstream,High Risk — Borderline Non-compliant
ACURA_TL_Mid-Size_Conventional/Hybrid_AS6,ACURA,TL,Mid-Size,Conventional/Hybrid,Z,Unknown,AS6,AS,6.0,0,0,0.0,3.5,6.0,0.0,11.8,8.1,10.1,0.0,0.0,0.0,0.0,232,9.9009900990099,66.28571428571429,1.4567901234567904,0.0,0.0,0.0,4,Mass Market Mainstream,High Risk — Borderline Non-compliant
ACURA_TL AWD_Mid-Size_Conventional/Hybrid_AS6,ACURA,TL AWD,Mid-Size,Conventional/Hybrid,Z,Unknown,AS6,AS,6.0,0,0,0.0,3.7,6.0,0.0,12.8,9.0,11.1,0.0,0.0,0.0,0.0,255,9.00900900900901,68.91891891891892,1.4222222222222225,0.0,0.0,0.0,4,Mass Market Mainstream,High Risk — Borderline Non-compliant
ACURA_TL AWD_Mid-Size_Conventional/Hybrid_M6,ACURA,TL AWD,Mid-Size,Conventional/Hybrid,Z,Unknown,M6,M,6.0,0,0,0.0,3.7,6.0,0.0,13.4,9.5,11.6,0.0,0.0,0.0,0.0,267,8.620689655172415,72.16216216216216,1.4105263157894736,0.0,0.0,0.0,4,Mass Market Mainstream,High Risk — Borderline Non-compliant
ACURA_TSX_Compact_Conventional/Hybrid_AS5,ACURA,TSX,Compact,Conventional/Hybrid,Z,Unknown,AS5,AS,5.0,0,0,0.0,2.4,4.0,0.0,10.6,7.5,9.2,0.0,0.0,0.0,0.0,212,10.869565217391305,88.33333333333334,1.413333333333333,0.0,0.0,0.0,3,Efficient Urban Commuters,Moderate Risk — Short-term Compliant
